slice_id,run_id,operator_id,slice_number,width_mm
slice_00721,run_041,georgia,2,4.086
slice_00722,run_041,georgia,3,3.889
slice_00723,run_041,georgia,4,3.999
slice_00724,run_041,georgia,5,4.204
slice_00725,run_041,georgia,6,4.448
slice_00726,run_041,georgia,7,3.444
slice_00727,run_041,georgia,8,3.418
slice_00728,run_041,georgia,9,4.752
slice_00729,run_041,georgia,10,3.809
slice_00730,run_041,georgia,11,3.184
slice_00731,run_041,georgia,12,4.341
slice_00732,run_041,georgia,13,4.353
slice_00733,run_041,georgia,14,3.114
slice_00734,run_041,georgia,15,4.208
slice_00735,run_041,georgia,16,4.522
slice_00736,run_041,georgia,17,4.298
slice_00737,run_042,georgia,1,4.4
slice_00738,run_042,georgia,2,3.229
slice_00739,run_042,georgia,3,4.227
slice_00740,run_042,georgia,4,3.863
slice_00741,run_042,georgia,5,3.759
slice_00742,run_042,georgia,6,4.538
slice_00743,run_042,georgia,7,4.888
slice_00744,run_042,georgia,8,5.069
slice_00745,run_042,georgia,9,4.793
slice_00746,run_042,georgia,10,3.974
slice_00747,run_042,georgia,11,4.24
slice_00748,run_042,georgia,12,4.478
slice_00749,run_042,georgia,13,4.107
slice_00750,run_042,georgia,14,4.112
slice_00751,run_042,georgia,15,4.511
slice_00752,run_042,georgia,16,4.003
slice_00753,run_043,georgia,1,3.498
slice_00754,run_043,georgia,2,3.694
slice_00755,run_043,georgia,3,4.347
slice_00756,run_043,georgia,4,3.954
slice_00757,run_043,georgia,5,4.164
slice_00758,run_043,georgia,6,4.37
slice_00759,run_043,georgia,7,3.719
slice_00760,run_043,georgia,8,4.424
slice_00761,run_043,georgia,9,4.188
slice_00762,run_043,georgia,10,3.183
slice_00763,run_043,georgia,11,4.851
slice_00764,run_043,georgia,12,3.641
slice_00765,run_043,georgia,13,2.922
slice_00766,run_043,georgia,14,3.302
slice_00767,run_043,georgia,15,3.317
slice_00768,run_043,georgia,16,3.985
slice_00769,run_043,georgia,17,3.782
slice_00770,run_043,georgia,18,3.743
slice_00771,run_043,georgia,19,4.338
slice_00772,run_044,georgia,1,4.216
slice_00773,run_044,georgia,2,4.204
slice_00774,run_044,georgia,3,4.252
slice_00775,run_044,georgia,4,4.357
slice_00776,run_044,georgia,5,2.963
slice_00777,run_044,georgia,6,3.855
slice_00778,run_044,georgia,7,2.926
slice_00779,run_044,georgia,8,4.06
slice_00780,run_044,georgia,9,4.04
slice_00781,run_044,georgia,10,4.577
slice_00782,run_044,georgia,11,4.65
slice_00783,run_044,georgia,12,4.146
slice_00784,run_044,georgia,13,3.786
slice_00785,run_044,georgia,14,4.29
slice_00786,run_044,georgia,15,3.772
slice_00787,run_044,georgia,16,4.041
slice_00788,run_045,georgia,1,4.606
slice_00789,run_045,georgia,2,3.676
slice_00790,run_045,georgia,3,4.497
slice_00791,run_045,georgia,4,4.42
slice_00792,run_045,georgia,5,3.437
slice_00793,run_045,georgia,6,4.599
slice_00794,run_045,georgia,7,4.433
slice_00795,run_045,georgia,8,4.073
slice_00796,run_045,georgia,9,3.553
slice_00797,run_045,georgia,10,3.494
slice_00798,run_045,georgia,11,3.688
slice_00799,run_045,georgia,12,4.339
slice_00800,run_045,georgia,13,3.436
slice_00801,run_045,georgia,14,4.275
slice_00802,run_045,georgia,15,3.264
slice_00803,run_045,georgia,16,3.889
slice_00804,run_045,georgia,17,4.078
slice_00805,run_045,georgia,18,5.485
slice_00806,run_045,georgia,19,3.182
slice_00807,run_046,georgia,1,4.893
slice_00808,run_046,georgia,2,4.026
slice_00809,run_046,georgia,3,4.197
slice_00810,run_046,georgia,4,4.005
slice_00811,run_046,georgia,5,4.219
slice_00812,run_046,georgia,6,3.827
slice_00813,run_046,georgia,7,4.881
slice_00814,run_046,georgia,8,3.628
slice_00815,run_046,georgia,9,4.67
slice_00816,run_046,georgia,10,3.505
slice_00817,run_046,georgia,11,3.888
slice_00818,run_046,georgia,12,3.225
slice_00819,run_046,georgia,13,4.226
slice_00820,run_046,georgia,14,4.875
slice_00821,run_046,georgia,15,3.877
slice_00822,run_046,georgia,16,3.799
slice_00823,run_047,georgia,1,3.285
slice_00824,run_047,georgia,2,3.862
slice_00825,run_047,georgia,3,2.974
slice_00826,run_047,georgia,4,3.417
slice_00827,run_047,georgia,5,4.159
slice_00828,run_047,georgia,6,4.871
slice_00829,run_047,georgia,7,5.843
slice_00830,run_047,georgia,8,3.629
slice_00831,run_047,georgia,9,4.947
slice_00832,run_047,georgia,10,4.17
slice_00833,run_047,georgia,11,3.913
slice_00834,run_047,georgia,12,4.294
slice_00835,run_047,georgia,13,4.052
slice_00836,run_047,georgia,14,4.084
slice_00837,run_047,georgia,15,3.746
slice_00838,run_047,georgia,16,3.1
slice_00839,run_047,georgia,17,3.006
slice_00840,run_048,georgia,1,4.492
slice_00841,run_048,georgia,2,3.906
slice_00842,run_048,georgia,3,3.704
slice_00843,run_048,georgia,4,4.085
slice_00844,run_048,georgia,5,4.582
slice_00845,run_048,georgia,6,4.194
slice_00846,run_048,georgia,7,3.666
slice_00847,run_048,georgia,8,4.854
slice_00848,run_048,georgia,9,5.076
slice_00849,run_048,georgia,10,4.392
slice_00850,run_048,georgia,11,4.694
slice_00851,run_048,georgia,12,4.864
slice_00852,run_048,georgia,13,4.793
slice_00853,run_048,georgia,14,4.467
slice_00854,run_048,georgia,15,4.458
slice_00855,run_048,georgia,16,4.408
slice_00856,run_048,georgia,17,3.388
slice_00857,run_048,georgia,18,4.522
slice_00858,run_048,georgia,19,3.225
slice_00859,run_049,georgia,1,3.478
slice_00860,run_049,georgia,2,4.879
slice_00861,run_049,georgia,3,4.57
slice_00862,run_049,georgia,4,5.002
slice_00863,run_049,georgia,5,3.828
slice_00864,run_049,georgia,6,3.24
slice_00865,run_049,georgia,7,3.848
slice_00866,run_049,georgia,8,4.077
slice_00867,run_049,georgia,9,4.062
slice_00868,run_049,georgia,10,4.766
slice_00869,run_049,georgia,11,3.768
slice_00870,run_049,georgia,12,4.244
slice_00871,run_049,georgia,13,3.349
slice_00872,run_049,georgia,14,4.31
slice_00873,run_049,georgia,15,4.011
slice_00874,run_049,georgia,16,3.508
slice_00875,run_049,georgia,17,3.852
slice_00876,run_049,georgia,18,3.886
slice_00877,run_050,georgia,1,3.874
slice_00878,run_050,georgia,2,5.338
slice_00879,run_050,georgia,3,3.997
slice_00880,run_050,georgia,4,3.893
slice_00881,run_050,georgia,5,2.564
slice_00882,run_050,georgia,6,3.427
slice_00883,run_050,georgia,7,3.879
slice_00884,run_050,georgia,8,3.576
slice_00885,run_050,georgia,9,5.058
slice_00886,run_050,georgia,10,3.95
slice_00887,run_050,georgia,11,4.992
slice_00888,run_050,georgia,12,4.112
slice_00889,run_050,georgia,13,4.095
slice_00890,run_050,georgia,14,4.004
slice_00891,run_050,georgia,15,4.071
slice_00892,run_051,alice,1,5.199
slice_00893,run_051,alice,2,2.554
slice_00894,run_051,alice,3,2.762
slice_00895,run_051,alice,4,3.717
slice_00896,run_051,alice,5,4.083
slice_00897,run_051,alice,6,4.525
slice_00898,run_051,alice,7,4.383
slice_00899,run_051,alice,8,3.822
slice_00900,run_051,alice,9,4.741
slice_00901,run_051,alice,10,4.748
slice_00902,run_051,alice,11,4.194
slice_00903,run_051,alice,12,4.704
slice_00904,run_051,alice,13,4.252
slice_00905,run_051,alice,14,3.705
slice_00906,run_051,alice,15,4.53
slice_00907,run_051,alice,16,4.146
slice_00908,run_051,alice,17,4.074
slice_00909,run_051,alice,18,5.038
slice_00910,run_052,alice,1,2.312
slice_00911,run_052,alice,2,3.01
slice_00912,run_052,alice,3,3.166
slice_00913,run_052,alice,4,3.722
slice_00914,run_052,alice,5,3.796
slice_00915,run_052,alice,6,2.949
slice_00916,run_052,alice,7,3.302
slice_00917,run_052,alice,8,3.386
slice_00918,run_052,alice,9,5.629
slice_00919,run_052,alice,10,5.186
slice_00920,run_052,alice,11,3.69
slice_00921,run_052,alice,12,3.722
slice_00922,run_052,alice,13,3.191
slice_00923,run_052,alice,14,2.678
slice_00924,run_052,alice,15,3.889
slice_00925,run_053,alice,1,3.132
slice_00926,run_053,alice,2,3.863
slice_00927,run_053,alice,3,2.65
slice_00928,run_053,alice,4,3.321
slice_00929,run_053,alice,5,4.05
slice_00930,run_053,alice,6,4.224
slice_00931,run_053,alice,7,4.265
slice_00932,run_053,alice,8,2.874
slice_00933,run_053,alice,9,4.616
slice_00934,run_053,alice,10,3.29
slice_00935,run_053,alice,11,4.438
slice_00936,run_053,alice,12,3.923
slice_00937,run_053,alice,13,2.829
slice_00938,run_053,alice,14,3.678
slice_00939,run_053,alice,15,4.224
slice_00940,run_053,alice,16,4.422
slice_00941,run_053,alice,17,3.818
slice_00942,run_053,alice,18,5.158
slice_00943,run_053,alice,19,4.738
slice_00944,run_053,alice,20,3.726
slice_00945,run_054,alice,1,4.463
slice_00946,run_054,alice,2,5.212
slice_00947,run_054,alice,3,5.229
slice_00948,run_054,alice,4,3.212
slice_00949,run_054,alice,5,3.403
slice_00950,run_054,alice,6,4.928
slice_00951,run_054,alice,7,3.32
slice_00952,run_054,alice,8,3.153
slice_00953,run_054,alice,9,3.681
slice_00954,run_054,alice,10,4.255
slice_00955,run_054,alice,11,3.924
slice_00956,run_054,alice,12,3.578
slice_00957,run_054,alice,13,3.563
slice_00958,run_054,alice,14,3.538
slice_00959,run_054,alice,15,3.433
slice_00960,run_054,alice,16,5.432
slice_00961,run_054,alice,17,4.177
slice_00962,run_054,alice,18,4.55
slice_00963,run_055,alice,1,3.616
slice_00964,run_055,alice,2,3.864
slice_00965,run_055,alice,3,3.433
slice_00966,run_055,alice,4,1.849
slice_00967,run_055,alice,5,2.89
slice_00968,run_055,alice,6,2.536
slice_00969,run_055,alice,7,2.177
slice_00970,run_055,alice,8,3.039
slice_00971,run_055,alice,9,5.098
slice_00972,run_055,alice,10,3.979
slice_00973,run_055,alice,11,5.07
slice_00974,run_055,alice,12,4.351
slice_00975,run_055,alice,13,4.655
slice_00976,run_055,alice,14,3.28
slice_00977,run_055,alice,15,4.444
slice_00978,run_055,alice,16,4.611
slice_00979,run_055,alice,17,3.545
slice_00980,run_056,alice,1,4.65
slice_00981,run_056,alice,2,4.656
slice_00982,run_056,alice,3,3.56
slice_00983,run_056,alice,4,2.996
slice_00984,run_056,alice,5,2.936
slice_00985,run_056,alice,6,4.185
slice_00986,run_056,alice,7,4.421
slice_00987,run_056,alice,8,3.321
slice_00988,run_056,alice,9,4.126
slice_00989,run_056,alice,10,4.661
slice_00990,run_056,alice,11,4.708
slice_00991,run_056,alice,12,5.626
slice_00992,run_056,alice,13,5.355
slice_00993,run_056,alice,14,3.115
slice_00994,run_056,alice,15,5.755
slice_00995,run_056,alice,16,3.578
slice_00996,run_056,alice,17,5.127
slice_00997,run_057,alice,1,3.99
slice_00998,run_057,alice,2,3.712
slice_00999,run_057,alice,3,2.903
slice_01000,run_057,alice,4,3.851
slice_01001,run_057,alice,5,3.047
slice_01002,run_057,alice,6,4.511
slice_01003,run_057,alice,7,4.829
slice_01004,run_057,alice,8,3.489
slice_01005,run_057,alice,9,4.125
slice_01006,run_057,alice,10,3.53
slice_01007,run_057,alice,11,3.586
slice_01008,run_057,alice,12,4.399
slice_01009,run_057,alice,13,3.928
slice_01010,run_057,alice,14,4.959
slice_01011,run_057,alice,15,3.671
slice_01012,run_057,alice,16,4.53
slice_01013,run_057,alice,17,4.007
slice_01014,run_058,alice,1,4.558
slice_01015,run_058,alice,2,3.707
slice_01016,run_058,alice,3,3.979
slice_01017,run_058,alice,4,3.934
slice_01018,run_058,alice,5,3.441
slice_01019,run_058,alice,6,4.467
slice_01020,run_058,alice,7,4.459
slice_01021,run_058,alice,8,4.42
slice_01022,run_058,alice,9,5.066
slice_01023,run_058,alice,10,5.006
slice_01024,run_058,alice,11,3.757
slice_01025,run_058,alice,12,4.269
slice_01026,run_058,alice,13,3.586
slice_01027,run_058,alice,14,4.029
slice_01028,run_058,alice,15,3.603
slice_01029,run_058,alice,16,5.123
slice_01030,run_058,alice,17,4.263
slice_01031,run_058,alice,18,3.864
slice_01032,run_058,alice,19,4.831
slice_01033,run_058,alice,20,2.527
slice_01034,run_059,alice,1,2.482
slice_01035,run_059,alice,2,4.557
slice_01036,run_059,alice,3,4.014
slice_01037,run_059,alice,4,4.154
slice_01038,run_059,alice,5,2.99
slice_01039,run_059,alice,6,3.952
slice_01040,run_059,alice,7,5.449
slice_01041,run_059,alice,8,4.578
slice_01042,run_059,alice,9,4.095
slice_01043,run_059,alice,10,3.645
slice_01044,run_059,alice,11,3.678
slice_01045,run_059,alice,12,2.396
slice_01046,run_059,alice,13,4.16
slice_01047,run_059,alice,14,4.594
slice_01048,run_059,alice,15,2.805
slice_01049,run_059,alice,16,3.481
slice_01050,run_059,alice,17,3.114
slice_01051,run_059,alice,18,3.256
slice_01052,run_060,alice,1,4.094
slice_01053,run_060,alice,2,2.464
slice_01054,run_060,alice,3,4.522
slice_01055,run_060,alice,4,4.628
slice_01056,run_060,alice,5,3.862
slice_01057,run_060,alice,6,2.162
slice_01058,run_060,alice,7,3.293
slice_01059,run_060,alice,8,4.993
slice_01060,run_060,alice,9,1.935
slice_01061,run_060,alice,10,3.788
slice_01062,run_060,alice,11,3.153
slice_01063,run_060,alice,12,4.667
slice_01064,run_060,alice,13,3.538
slice_01065,run_060,alice,14,4.361
slice_01066,run_060,alice,15,4.484
slice_01067,run_060,alice,16,5.454
slice_01068,run_060,alice,17,3.899
slice_01069,run_060,alice,18,4.34
slice_01070,run_061,alice,1,3.033
slice_01071,run_061,alice,2,4.682
slice_01072,run_061,alice,3,3.48
slice_01073,run_061,alice,4,3.603
slice_01074,run_061,alice,5,3.935
slice_01075,run_061,alice,6,2.985
slice_01076,run_061,alice,7,4.089
slice_01077,run_061,alice,8,4.544
slice_01078,run_061,alice,9,4.129
slice_01079,run_061,alice,10,2.969
slice_01080,run_061,alice,11,3.872
slice_01081,run_061,alice,12,4.405
slice_01082,run_061,alice,13,2.791
slice_01083,run_061,alice,14,3.286
slice_01084,run_061,alice,15,4.488
slice_01085,run_061,alice,16,4.115
slice_01086,run_061,alice,17,4.202
slice_01087,run_061,alice,18,5.094
slice_01088,run_062,alice,1,4.325
slice_01089,run_062,alice,2,4.466
slice_01090,run_062,alice,3,5.997
slice_01091,run_062,alice,4,3.816
slice_01092,run_062,alice,5,3.381
slice_01093,run_062,alice,6,4.295
slice_01094,run_062,alice,7,4.303
slice_01095,run_062,alice,8,3.583
slice_01096,run_062,alice,9,3.206
slice_01097,run_062,alice,10,5.698
slice_01098,run_062,alice,11,4.219
slice_01099,run_062,alice,12,3.43
slice_01100,run_062,alice,13,4.659
slice_01101,run_062,alice,14,3.894
slice_01102,run_062,alice,15,3.787
slice_01103,run_063,alice,1,4.472
slice_01104,run_063,alice,2,2.936
slice_01105,run_063,alice,3,4.299
slice_01106,run_063,alice,4,5.592
slice_01107,run_063,alice,5,4.393
slice_01108,run_063,alice,6,3.695
slice_01109,run_063,alice,7,3.586
slice_01110,run_063,alice,8,3.666
slice_01111,run_063,alice,9,3.796
slice_01112,run_063,alice,10,3.693
slice_01113,run_063,alice,11,4.766
slice_01114,run_063,alice,12,2.57
slice_01115,run_063,alice,13,4.721
slice_01116,run_063,alice,14,3.692
slice_01117,run_063,alice,15,4.319
slice_01118,run_063,alice,16,3.073
slice_01119,run_063,alice,17,5.107
slice_01120,run_063,alice,18,5.039
slice_01121,run_063,alice,19,4.802
slice_01122,run_064,alice,1,2.983
slice_01123,run_064,alice,2,4.518
slice_01124,run_064,alice,3,4.24
slice_01125,run_064,alice,4,2.923
slice_01126,run_064,alice,5,3.959
slice_01127,run_064,alice,6,4.214
slice_01128,run_064,alice,7,4.339
slice_01129,run_064,alice,8,4.091
slice_01130,run_064,alice,9,4.166
slice_01131,run_064,alice,10,4.941
slice_01132,run_064,alice,11,4.778
slice_01133,run_064,alice,12,2.097
slice_01134,run_064,alice,13,3.767
slice_01135,run_064,alice,14,3.867
slice_01136,run_064,alice,15,2.827
slice_01137,run_064,alice,16,4.037
slice_01138,run_064,alice,17,4.793
slice_01139,run_064,alice,18,3.263
slice_01140,run_064,alice,19,4.195
slice_01141,run_065,alice,1,3.121
slice_01142,run_065,alice,2,3.345
slice_01143,run_065,alice,3,5.323
slice_01144,run_065,alice,4,3.464
slice_01145,run_065,alice,5,4.389
slice_01146,run_065,alice,6,2.242
slice_01147,run_065,alice,7,5.678
slice_01148,run_065,alice,8,4.518
slice_01149,run_065,alice,9,3.796
slice_01150,run_065,alice,10,4.493
slice_01151,run_065,alice,11,2.666
slice_01152,run_065,alice,12,5.052
slice_01153,run_065,alice,13,3.666
slice_01154,run_065,alice,14,3.776
slice_01155,run_065,alice,15,3.511
slice_01156,run_065,alice,16,3.429
slice_01157,run_066,alice,1,4.527
slice_01158,run_066,alice,2,4.168
slice_01159,run_066,alice,3,4.491
slice_01160,run_066,alice,4,3.952
slice_01161,run_066,alice,5,4.378
slice_01162,run_066,alice,6,3.617
slice_01163,run_066,alice,7,5.781
slice_01164,run_066,alice,8,2.678
slice_01165,run_066,alice,9,4.989
slice_01166,run_066,alice,10,5.077
slice_01167,run_066,alice,11,3.263
slice_01168,run_066,alice,12,5.78
slice_01169,run_066,alice,13,4.772
slice_01170,run_066,alice,14,4.752
slice_01171,run_066,alice,15,3.982
slice_01172,run_067,alice,1,3.877
slice_01173,run_067,alice,2,3.883
slice_01174,run_067,alice,3,4.352
slice_01175,run_067,alice,4,5.141
slice_01176,run_067,alice,5,4.188
slice_01177,run_067,alice,6,3.335
slice_01178,run_067,alice,7,4.69
slice_01179,run_067,alice,8,4.766
slice_01180,run_067,alice,9,4.558
slice_01181,run_067,alice,10,4.629
slice_01182,run_067,alice,11,3.835
slice_01183,run_067,alice,12,3.321
slice_01184,run_067,alice,13,3.369
slice_01185,run_067,alice,14,2.77
slice_01186,run_067,alice,15,4.232
slice_01187,run_067,alice,16,3.981
slice_01188,run_067,alice,17,3.703
slice_01189,run_067,alice,18,1.739
slice_01190,run_067,alice,19,3.073
slice_01191,run_067,alice,20,4.922
slice_01192,run_068,alice,1,3.496
slice_01193,run_068,alice,2,4.261
slice_01194,run_068,alice,3,2.954
slice_01195,run_068,alice,4,5.067
slice_01196,run_068,alice,5,3.885
slice_01197,run_068,alice,6,4.209
slice_01198,run_068,alice,7,5.729
slice_01199,run_068,alice,8,5.125
slice_01200,run_068,alice,9,3.763
slice_01201,run_068,alice,10,3.549
slice_01202,run_068,alice,11,3.749
slice_01203,run_068,alice,12,4.373
slice_01204,run_068,alice,13,3.914
slice_01205,run_068,alice,14,3.697
slice_01206,run_068,alice,15,5.088
slice_01207,run_068,alice,16,3.907
slice_01208,run_069,alice,1,5.663
slice_01209,run_069,alice,2,4.087
slice_01210,run_069,alice,3,5.296
slice_01211,run_069,alice,4,4.277
slice_01212,run_069,alice,5,4.709
slice_01213,run_069,alice,6,3.505
slice_01214,run_069,alice,7,3.413
slice_01215,run_069,alice,8,4.35
slice_01216,run_069,alice,9,4.728
slice_01217,run_069,alice,10,4.051
slice_01218,run_069,alice,11,3.104
slice_01219,run_069,alice,12,3.052
slice_01220,run_069,alice,13,3.004
slice_01221,run_069,alice,14,2.761
slice_01222,run_069,alice,15,4.1
slice_01223,run_069,alice,16,4.825
slice_01224,run_069,alice,17,4.013
slice_01225,run_069,alice,18,2.409
slice_01226,run_069,alice,19,3.886
slice_01227,run_069,alice,20,3.906
slice_01228,run_070,alice,1,5.296
slice_01229,run_070,alice,2,2.995
slice_01230,run_070,alice,3,3.686
slice_01231,run_070,alice,4,5.044
slice_01232,run_070,alice,5,4.23
slice_01233,run_070,alice,6,4.304
slice_01234,run_070,alice,7,4.013
slice_01235,run_070,alice,8,4.152
slice_01236,run_070,alice,9,4.442
slice_01237,run_070,alice,10,3.414
slice_01238,run_070,alice,11,4.507
slice_01239,run_070,alice,12,3.049
slice_01240,run_070,alice,13,4.151
slice_01241,run_070,alice,14,4.055
slice_01242,run_070,alice,15,3.54
slice_01243,run_070,alice,16,3.924
slice_01244,run_070,alice,17,3.535
slice_01245,run_070,alice,18,3.245
slice_01246,run_070,alice,19,3.71
slice_01247,run_070,alice,20,3.224
slice_01248,run_071,alice,1,4.325
slice_01249,run_071,alice,2,3.202
slice_01250,run_071,alice,3,4.622
slice_01251,run_071,alice,4,3.178
slice_01252,run_071,alice,5,3.647
slice_01253,run_071,alice,6,3.603
slice_01254,run_071,alice,7,5.09
slice_01255,run_071,alice,8,4.331
slice_01256,run_071,alice,9,3.917
slice_01257,run_071,alice,10,4.459
slice_01258,run_071,alice,11,2.472
slice_01259,run_071,alice,12,4.046
slice_01260,run_071,alice,13,5.603
slice_01261,run_071,alice,14,4.18
slice_01262,run_071,alice,15,4.131
slice_01263,run_072,alice,1,4.418
slice_01264,run_072,alice,2,4.686
slice_01265,run_072,alice,3,2.45
slice_01266,run_072,alice,4,2.694
slice_01267,run_072,alice,5,4.157
slice_01268,run_072,alice,6,3.442
slice_01269,run_072,alice,7,5.008
slice_01270,run_072,alice,8,3.75
slice_01271,run_072,alice,9,2.499
slice_01272,run_072,alice,10,3.014
slice_01273,run_072,alice,11,1.869
slice_01274,run_072,alice,12,3.813
slice_01275,run_072,alice,13,3.848
slice_01276,run_072,alice,14,3.666
slice_01277,run_072,alice,15,4.828
slice_01278,run_072,alice,16,4.92
slice_01279,run_072,alice,17,3.862
slice_01280,run_072,alice,18,2.344
slice_01281,run_072,alice,19,4.471
slice_01282,run_072,alice,20,4.423
slice_01283,run_073,alice,1,4.233
slice_01284,run_073,alice,2,4.715
slice_01285,run_073,alice,3,3.176
slice_01286,run_073,alice,4,5.451
slice_01287,run_073,alice,5,3.323
slice_01288,run_073,alice,6,4.548
slice_01289,run_073,alice,7,2.801
slice_01290,run_073,alice,8,3.344
slice_01291,run_073,alice,9,5.098
slice_01292,run_073,alice,10,3.824
slice_01293,run_073,alice,11,4.613
slice_01294,run_073,alice,12,4.181
slice_01295,run_073,alice,13,3.936
slice_01296,run_073,alice,14,4.989
slice_01297,run_073,alice,15,3.841
slice_01298,run_073,alice,16,2.734
slice_01299,run_073,alice,17,3.435
slice_01300,run_074,alice,1,4.488
slice_01301,run_074,alice,2,4.366
slice_01302,run_074,alice,3,2.826
slice_01303,run_074,alice,4,3.487
slice_01304,run_074,alice,5,3.599
slice_01305,run_074,alice,6,3.769
slice_01306,run_074,alice,7,2.976
slice_01307,run_074,alice,8,3.562
slice_01308,run_074,alice,9,3.484
slice_01309,run_074,alice,10,4.66
slice_01310,run_074,alice,11,4.69
slice_01311,run_074,alice,12,3.941
slice_01312,run_074,alice,13,3.748
slice_01313,run_074,alice,14,4.165
slice_01314,run_074,alice,15,3.415
slice_01315,run_074,alice,16,3.156
slice_01316,run_075,alice,1,3.396
slice_01317,run_075,alice,2,3.595
slice_01318,run_075,alice,3,3.251
slice_01319,run_075,alice,4,4.115
slice_01320,run_075,alice,5,4.485
slice_01321,run_075,alice,6,2.974
slice_01322,run_075,alice,7,4.026
slice_01323,run_075,alice,8,3.866
slice_01324,run_075,alice,9,4.232
slice_01325,run_075,alice,10,4.001
slice_01326,run_075,alice,11,3.061
slice_01327,run_075,alice,12,3.186
slice_01328,run_075,alice,13,4.028
slice_01329,run_075,alice,14,4.68
slice_01330,run_075,alice,15,2.565
slice_01331,run_075,alice,16,4.235
slice_01332,run_075,alice,17,4.785
slice_01333,run_075,alice,18,3.909
slice_01334,run_075,alice,19,4.368
slice_01335,run_076,tori,1,3.241
slice_01336,run_076,tori,2,3.814
slice_01337,run_076,tori,3,2.34
slice_01338,run_076,tori,4,1.629
slice_01339,run_076,tori,5,4.857
slice_01340,run_076,tori,6,2.964
slice_01341,run_076,tori,7,3.484
slice_01342,run_076,tori,8,2.57
slice_01343,run_076,tori,9,2.547
slice_01344,run_076,tori,10,3.761
slice_01345,run_076,tori,11,3.215
slice_01346,run_076,tori,12,4.303
slice_01347,run_076,tori,13,4.376
slice_01348,run_076,tori,14,4.247
slice_01349,run_076,tori,15,4.166
slice_01350,run_076,tori,16,5.481
slice_01351,run_076,tori,17,2.883
slice_01352,run_076,tori,18,3.878
slice_01353,run_076,tori,19,5.044
slice_01354,run_077,tori,1,5.027
slice_01355,run_077,tori,2,2.826
slice_01356,run_077,tori,3,3.735
slice_01357,run_077,tori,4,5.104
slice_01358,run_077,tori,5,4.407
slice_01359,run_077,tori,6,4.151
slice_01360,run_077,tori,7,3.813
slice_01361,run_077,tori,8,3.677
slice_01362,run_077,tori,9,4.227
slice_01363,run_077,tori,10,3.784
slice_01364,run_077,tori,11,3.956
slice_01365,run_077,tori,12,4.055
slice_01366,run_077,tori,13,3.435
slice_01367,run_077,tori,14,4.427
slice_01368,run_077,tori,15,6.379
slice_01369,run_078,tori,1,2.72
slice_01370,run_078,tori,2,4.32
slice_01371,run_078,tori,3,3.494
slice_01372,run_078,tori,4,4.513
slice_01373,run_078,tori,5,4.109
slice_01374,run_078,tori,6,4.653
slice_01375,run_078,tori,7,4.968
slice_01376,run_078,tori,8,4.22
slice_01377,run_078,tori,9,4.935
slice_01378,run_078,tori,10,2.288
slice_01379,run_078,tori,11,5.284
slice_01380,run_078,tori,12,4.359
slice_01381,run_078,tori,13,4.894
slice_01382,run_078,tori,14,3.144
slice_01383,run_078,tori,15,3.44
slice_01384,run_078,tori,16,4.184
slice_01385,run_078,tori,17,4.06
slice_01386,run_078,tori,18,4.289
slice_01387,run_078,tori,19,4.899
slice_01388,run_079,tori,1,2.587
slice_01389,run_079,tori,2,4.829
slice_01390,run_079,tori,3,4.039
slice_01391,run_079,tori,4,3.865
slice_01392,run_079,tori,5,2.828
slice_01393,run_079,tori,6,4.444
slice_01394,run_079,tori,7,2.056
slice_01395,run_079,tori,8,4.563
slice_01396,run_079,tori,9,2.811
slice_01397,run_079,tori,10,4.076
slice_01398,run_079,tori,11,3.935
slice_01399,run_079,tori,12,4.989
slice_01400,run_079,tori,13,3.886
slice_01401,run_079,tori,14,3.464
slice_01402,run_079,tori,15,3.618
slice_01403,run_079,tori,16,5.074
slice_01404,run_080,tori,1,4.449
slice_01405,run_080,tori,2,3.677
slice_01406,run_080,tori,3,3.802
slice_01407,run_080,tori,4,2.688
slice_01408,run_080,tori,5,4.325
slice_01409,run_080,tori,6,2.527
slice_01410,run_080,tori,7,4.629
slice_01411,run_080,tori,8,4.107
slice_01412,run_080,tori,9,5.997
slice_01413,run_080,tori,10,3.079
slice_01414,run_080,tori,11,3.914
slice_01415,run_080,tori,12,5.505
slice_01416,run_080,tori,13,4.997
slice_01417,run_080,tori,14,3.417
slice_01418,run_080,tori,15,4.187
slice_01419,run_080,tori,16,4.001
slice_01420,run_081,tori,1,4.312
slice_01421,run_081,tori,2,3.471
slice_01422,run_081,tori,3,3.994
slice_01423,run_081,tori,4,2.7
slice_01424,run_081,tori,5,4.186
slice_01425,run_081,tori,6,4.456
slice_01426,run_081,tori,7,3.875
slice_01427,run_081,tori,8,2.686
slice_01428,run_081,tori,9,4.918
slice_01429,run_081,tori,10,4.383
slice_01430,run_081,tori,11,3.448
slice_01431,run_081,tori,12,3.83
slice_01432,run_081,tori,13,2.784
slice_01433,run_081,tori,14,3.191
slice_01434,run_081,tori,15,3.609
slice_01435,run_081,tori,16,5.123
slice_01436,run_081,tori,17,3.522
slice_01437,run_081,tori,18,4.619
slice_01438,run_081,tori,19,3.609
slice_01439,run_081,tori,20,4.283
slice_01440,run_082,tori,1,3.935
slice_01441,run_082,tori,2,4.631
slice_01442,run_082,tori,3,3.665
slice_01443,run_082,tori,4,2.953
slice_01444,run_082,tori,5,3.084
slice_01445,run_082,tori,6,3.667
slice_01446,run_082,tori,7,3.175
